"Country Name";"Country Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Switzerland";"CHE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Channel Islands";"CHI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Chile";"CHL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95";;;;;;;;;;"98.8";;;;;;;;;;"99";;"99.6";;;;
"China";"CHN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94.23774";;;;;;;;;;"98";;;;;;;;;;"99.7";;"100";;;;
"Cote d'Ivoire";"CIV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"36.5";;;;;;;;;;"51.4";;;;;;;;;;"58.9";;"55.8";;;;
"Cameroon";"CMR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"29";;;;;;;;;;"46.2";;;;;;;;;;"49";;"53.7";;;;
"Congo, Rep.";"COG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"24.38774";;;;;;;;;;"20.9";;;;;;;;;;"37.1";;"41.6";;;;
"Colombia";"COL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92";;;;;;;;;;"97";;;;;;;;;;"96.7";;"97";;;;
"Comoros";"COM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"41.95982";;;;;;;;;;"44.8";;;;;;;;;;"51.5";;"69.3";;;;
"Cabo Verde";"CPV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"58.18774";;;;;;;;;;"58.6";;;;;;;;;;"67";;"70.56256";;;;
